,,,,,,Time Differences,,,,"Mean Spring, Neap and Sea Level Heights",,,,,,,,,,
,,Lat.,S.,Long.,E.,High Water,,Low Water,,,,(metres),,,Range,,,,,
No.,Port,°,´,°,´,Mean,Range,Mean,Range,MHWS,MHWN,MLWN,MLWS,MSL,Ratio,,,,,
6508a,Small Craft Retreat,47,15,167,39,-0100,-0123 to -0037,-0102,-0118 to -0039,3.0,2.5,1.1,0.6,1.8,1.04,,,,,
6506b,Yankee River,46,41,167,53,-0103,-0132 to -0031,-0117,-0144 to -0044,2.3,1.9,0.9,0.5,1.4,0.78,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6490,LYTTELTON,43,36,172,43,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,2.6,2.0,0.7,0.2,1.41,,,,,,
6485,Cape Campbell,41,44,174,15,+0050,-0031 to +0058,+0050,-0044 to +0117,1.7,1.6,0.5,0.4,1.1,0.54,*,,,,
6487,Kaikoura,42,25,173,42,+0017,+0010 to +0025,+0017,+0007 to +0029,2.0,1.6,0.5,0.2,1.1,0.75,,,,,
6481,Lucky Bay,41,16,174,17,+0230,-,+0230,-,1.3,1.2,0.5,0.4,0.9,0.38,*,,,,
6482,Port Underwood,41,20,174,06,+0142,+0050 to +0247,+0148,+0057 to +0237,1.5,1.1,0.6,0.3,0.9,0.50,,,,,
6491a,Rakaia River Mouth ,43,54,172,13,-0046,-,-,-,-,-,-,-,-,-,*,,,,
6488,Sumner,43,34,172,46,+0001,-0002 to +0005,+0001,-0002 to +0005,2.4,1.9,0.6,0.2,1.3,0.92,,,,,
,Akaroa Harbour,,,,,,,,,,,,,,,,,,,
6490a,French Bay - Akaroa,43,48,172,58,-0044,-0126 to +0005,-0042,-0122 to +0008,2.7,2.1,0.9,0.4,1.5,0.96,,,,,
6491,Tikao Bay,43,48,172,55,-0043,-,-0042,-,2.6,2.2,0.9,0.6,1.5,0.83,*,,,,
,Chatham Island,,,,,,,,,,,,,,,,,,,
6536a,Kaingaroa,43,44,176,16W,+0053,+0035 to +0108,+0053,+0038 to +0108,1.4,1.1,0.3,0.0,0.7,0.58,,,,,
6536b,Owenga,44,02,176,22W,+0022,+0007 to +0052,+0021,+0009 to +0031,1.3,1.0,0.3,0.0,0.7,0.54,,,,,
6536,Waitangi_1,43,57,176,34W,+0022,-0004 to + 0052,+0021,-0022 to +0101,0.9,0.6,0.2,0.0,0.4,0.38,,,,,
,,,,,,,,,,,,,,,,,,,,
,Add a further 45 minutes to obtain Chatham Island Standard Time,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6394,MARSDEN POINT,35,50,174,30,hhmm,hhmm to hhmm,hhmm,hhmm to hhmm,2.7,2.3,0.8,0.4,1.59,,,,,,
6388e,Maitai Bay,34,49,173,25,+0006,+0010 to +0027,+0009,-0009 to +0026,2.5,2.0,0.9,0.3,1.4,0.96,,,,,
6389,Mangonui,34,59,173,32,+0033,+0004 to +0100,+0049,+0028 to +0117,2.6,2.2,0.9,0.5,1.6,0.91,,,,,
6391c,Ngaiotonga Bay,35,19,174,19,-0011,-0029 to +0013,-0008,-0024 to +0017,2.5,2.0,0.8,0.3,1.4,0.96,,,,,
6386a,North Cape (Otou),34,25,173,03,+0013,+0002 to +0026,+0017,+0006 to +0029,2.3,1.9,0.7,0.2,1.3,0.91,,,,,
6395a,Portland Wharf,35,48,174,21,+0019,+0006 to +0027,+0013,+0005 to +0023,3.1,2.6,1.1,0.4,1.8,1.17,,,,,
6392a,Taiwawe Bay,35,26,174,23,-0014,-0031 to +0012,-0010,-0026 to +0015,2.5,2.0,0.8,0.3,1.4,0.96,,,,,
6393,Tutukaka Harbour,35,37,174,32,-0015,-0035 to +0001,-0010,-0029 to +0005,2.3,1.9,0.8,0.3,1.4,0.87,,,,,
6391b,Whangamumu Harbour,35,15,174,18,+0014,-0036 to +0104,+0031,-0020 to +0115,2.1,1.9,0.6,0.2,1.2,0.83,*,,,,
6395,Whangarei,35,46,174,21,+0021,+0012 to +0027,+0014,+0007 to +0020,3.0,2.6,1.0,0.5,1.8,1.09,,,,,
,Awanui River,,,,,,,,,,,,,,,,,,,
6388d,Ben Gunn Wharf,35,00,173,16,+0059,+0041 to +0117,+0122,+0105 to +0138,2.4,2.0,0.5,0.1,1.3,1.00,,,,,
6388b,Dairy Factory Wharf,35,02,173,15,+0122,+0043 to +0211,+0223,+0118 to +0311,2.3,1.8,0.6,0.1,1.2,0.96,*,,,,
6388c,Unahi Jetty,35,00,173,15,+0102,+0004 to +0152,+0117,+0029 to +0210,2.3,1.9,0.6,0.2,1.3,0.91,*,,,,
,Bay of Islands,,,,,,,,,,,,,,,,,,,
6390c,Doves Bay,35,12,174,02,-0006,-0025 to +0024,-0002,-0020 to +0031,2.4,2.2,0.8,0.6,1.5,0.78,,,,,
